2023/04/08 19:50:11 [warn] 7#7: *2 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000001, client: 172.26.0.1, server: localhost, request: "POST /user/image/update HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/user/edit/profile"
2023/04/08 19:52:26 [warn] 7#7: *5 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000002, client: 172.26.0.1, server: localhost, request: "POST /user/image/update HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/user/edit/profile"
2023/04/08 19:54:57 [warn] 7#7: *1 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000001, client: 172.26.0.1, server: localhost, request: "POST /user/image/update HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/user/edit/profile"
2023/04/08 19:58:06 [warn] 7#7: *1 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000001, client: 172.26.0.1, server: localhost, request: "POST /user/image/update HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/user/edit/profile"
2023/04/08 19:58:13 [warn] 7#7: *1 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000002, client: 172.26.0.1, server: localhost, request: "POST /user/image/update HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/user/edit/profile"
2023/04/08 19:59:16 [warn] 7#7: *2 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000001, client: 172.26.0.1, server: localhost, request: "POST /user/image/update HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/user/edit/profile"
2023/04/08 20:07:54 [warn] 7#7: *1 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000001, client: 172.26.0.1, server: localhost, request: "POST /user/image/update HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/user/edit/profile"
2023/04/08 20:08:24 [warn] 7#7: *1 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000002, client: 172.26.0.1, server: localhost, request: "POST /user/image/update HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/user/edit/profile"
2023/04/08 20:15:34 [warn] 7#7: *1 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000001, client: 172.26.0.1, server: localhost, request: "POST /user/image/update HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/user/edit/profile"
2023/04/08 20:16:52 [warn] 7#7: *1 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000001, client: 172.26.0.1, server: localhost, request: "POST /user/image/update HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/user/edit/profile"
2023/04/08 20:16:58 [warn] 7#7: *1 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000002, client: 172.26.0.1, server: localhost, request: "POST /user/image/update HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/user/edit/profile"
2023/04/08 20:17:15 [warn] 7#7: *1 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000003, client: 172.26.0.1, server: localhost, request: "POST /user/image/update HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/user/edit/profile"
2023/04/08 20:17:33 [warn] 7#7: *1 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000004, client: 172.26.0.1, server: localhost, request: "POST /user/image/update HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/user/edit/profile"
2023/04/08 20:23:48 [warn] 7#7: *25 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000005, client: 172.26.0.1, server: localhost, request: "POST /user/image/update HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/user/edit/profile"
2023/04/08 20:24:26 [warn] 7#7: *25 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000006, client: 172.26.0.1, server: localhost, request: "POST /user/image/update HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/user/edit/profile"
2023/04/08 20:27:20 [warn] 7#7: *1 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000001, client: 172.26.0.1, server: localhost, request: "POST /user/image/update HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/user/edit/profile"
2023/04/08 20:32:35 [warn] 7#7: *1 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000001, client: 172.26.0.1, server: localhost, request: "POST /user/image/update HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/user/edit/profile"
2023/04/08 20:32:54 [warn] 7#7: *1 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000002, client: 172.26.0.1, server: localhost, request: "POST /user/image/update HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/user/edit/profile"
2023/04/08 20:33:27 [warn] 7#7: *1 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000003, client: 172.26.0.1, server: localhost, request: "POST /user/image/update HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/user/edit/profile"
2023/04/08 20:36:45 [warn] 7#7: *19 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000004, client: 172.26.0.1, server: localhost, request: "POST /user/image/update HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/user/edit/profile"
2023/04/08 20:39:27 [warn] 7#7: *23 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000005, client: 172.26.0.1, server: localhost, request: "POST /user/image/update HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/user/edit/profile"
2023/04/08 20:41:40 [warn] 7#7: *34 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000006, client: 172.26.0.1, server: localhost, request: "POST /user/image/update HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/user/edit/profile"
2023/04/08 20:42:59 [warn] 7#7: *37 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000007, client: 172.26.0.1, server: localhost, request: "POST /user/image/update HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/user/edit/profile"
2023/04/08 20:43:06 [warn] 7#7: *37 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000008, client: 172.26.0.1, server: localhost, request: "POST /user/image/update HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/user/edit/profile"
2023/04/08 20:44:45 [warn] 7#7: *46 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000009, client: 172.26.0.1, server: localhost, request: "POST /user/image/update HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/user/edit/profile"
2023/04/08 20:53:33 [warn] 7#7: *57 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000010, client: 172.26.0.1, server: localhost, request: "POST /user/image/update HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/user/edit/profile"
2023/04/08 20:55:34 [warn] 7#7: *60 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000011, client: 172.26.0.1, server: localhost, request: "POST /user/image/update HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/user/edit/profile"
2023/04/08 20:56:04 [warn] 7#7: *60 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000012, client: 172.26.0.1, server: localhost, request: "POST /user/image/update HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/user/edit/profile"
2023/04/08 20:56:34 [warn] 7#7: *60 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000013, client: 172.26.0.1, server: localhost, request: "POST /user/image/update HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/user/edit/profile"
2023/04/08 20:56:50 [warn] 7#7: *60 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000014, client: 172.26.0.1, server: localhost, request: "POST /user/image/update HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/user/edit/profile"
2023/04/08 20:56:55 [warn] 7#7: *60 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000015, client: 172.26.0.1, server: localhost, request: "POST /user/image/update HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/user/edit/profile"
2023/04/08 20:57:29 [warn] 7#7: *60 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000016, client: 172.26.0.1, server: localhost, request: "POST /user/image/update HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/user/edit/profile"
2023/04/10 10:43:26 [warn] 7#7: *2 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000001, client: 172.26.0.1, server: localhost, request: "POST /user/image/update HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/user/edit/profile"
